CODE,名称,URL
0,カニ囲い,http://mijinko83.blog110.fc2.com/blog-entry-88.html
1,金矢倉,http://mijinko83.blog110.fc2.com/blog-entry-89.html
2,銀矢倉,http://mijinko83.blog110.fc2.com/blog-entry-90.html
3,片矢倉,http://mijinko83.blog110.fc2.com/blog-entry-91.html
4,総矢倉,http://mijinko83.blog110.fc2.com/blog-entry-92.html
5,矢倉穴熊,http://mijinko83.blog110.fc2.com/blog-entry-93.html
6,菊水矢倉,http://mijinko83.blog110.fc2.com/blog-entry-94.html
7,銀立ち矢倉,http://mijinko83.blog110.fc2.com/blog-entry-95.html
8,菱矢倉,http://mijinko83.blog110.fc2.com/blog-entry-96.html
9,雁木囲い,http://mijinko83.blog110.fc2.com/blog-entry-97.html
10,ボナンザ囲い,http://mijinko83.blog110.fc2.com/blog-entry-98.html
100,美濃囲い,http://mijinko83.blog110.fc2.com/blog-entry-99.html
101,高美濃囲い,http://mijinko83.blog110.fc2.com/blog-entry-100.html
102,銀冠,http://mijinko83.blog110.fc2.com/blog-entry-101.html
103,銀美濃,http://mijinko83.blog110.fc2.com/blog-entry-102.html
104,ダイヤモンド美濃,http://mijinko83.blog110.fc2.com/blog-entry-103.html
105,木村美濃,http://mijinko83.blog110.fc2.com/blog-entry-104.html
106,片美濃囲い,http://mijinko83.blog110.fc2.com/blog-entry-105.html
107,ちょんまげ美濃,http://mijinko83.blog110.fc2.com/blog-entry-106.html
108,坊主美濃,http://mijinko83.blog110.fc2.com/blog-entry-107.html
200,左美濃,http://mijinko83.blog110.fc2.com/blog-entry-108.html
201,天守閣美濃,http://mijinko83.blog110.fc2.com/blog-entry-109.html
202,四枚美濃,http://mijinko83.blog110.fc2.com/blog-entry-110.html
300,舟囲い,http://mijinko83.blog110.fc2.com/blog-entry-111.html
301,居飛車穴熊,http://mijinko83.blog110.fc2.com/blog-entry-112.html
302,松尾流穴熊,http://mijinko83.blog110.fc2.com/blog-entry-113.html
303,銀冠穴熊,http://mijinko83.blog110.fc2.com/blog-entry-114.html
304,ビッグ４,http://mijinko83.blog110.fc2.com/blog-entry-115.html
305,箱入り娘,http://mijinko83.blog110.fc2.com/blog-entry-116.html
306,ミレニアム囲い,http://mijinko83.blog110.fc2.com/blog-entry-117.html
400,振り飛車穴熊,http://mijinko83.blog110.fc2.com/blog-entry-118.html
401,右矢倉,http://mijinko83.blog110.fc2.com/blog-entry-119.html
402,金無双,http://mijinko83.blog110.fc2.com/blog-entry-120.html
403,中住まい,http://mijinko83.blog110.fc2.com/blog-entry-121.html
404,中原玉,http://mijinko83.blog110.fc2.com/blog-entry-122.html
500,アヒル囲い,http://mijinko83.blog110.fc2.com/blog-entry-123.html
501,いちご囲い,http://mijinko83.blog110.fc2.com/blog-entry-124.html
502,無敵囲い,
2000,３七銀戦法,http://mijinko83.blog110.fc2.com/blog-entry-139.html
2001,脇システム,http://mijinko83.blog110.fc2.com/blog-entry-159.html
2003,森下システム,http://mijinko83.blog110.fc2.com/blog-entry-150.html
2004,雀刺し,http://mijinko83.blog110.fc2.com/blog-entry-149.html
2005,米長流急戦矢倉,http://mijinko83.blog110.fc2.com/blog-entry-147.html
2006,カニカニ銀,http://mijinko83.blog110.fc2.com/blog-entry-134.html
2007,中原流急戦矢倉,http://mijinko83.blog110.fc2.com/blog-entry-148.html
2008,阿久津流急戦矢倉,http://mijinko83.blog110.fc2.com/blog-entry-146.html
2009,矢倉中飛車,http://mijinko83.blog110.fc2.com/blog-entry-152.html
2010,右四間飛車,http://mijinko83.blog110.fc2.com/blog-entry-129.html
2011,原始棒銀,http://mijinko83.blog110.fc2.com/blog-entry-137.html
2012,右玉,http://mijinko83.blog110.fc2.com/blog-entry-154.html
2013,かまいたち戦法,http://mijinko83.blog110.fc2.com/blog-entry-165.html
2114,パックマン戦法,http://mijinko83.blog110.fc2.com/blog-entry-125.html
2115,新米長玉,http://mijinko83.blog110.fc2.com/blog-entry-153.html
2101,腰掛け銀,http://mijinko83.blog110.fc2.com/blog-entry-184.html
2103,早繰り銀,http://mijinko83.blog110.fc2.com/blog-entry-182.html
2104,筋違い角,http://mijinko83.blog110.fc2.com/blog-entry-126.html
2105,木村定跡,http://mijinko83.blog110.fc2.com/blog-entry-157.html
2200,相掛かり,http://mijinko83.blog110.fc2.com/blog-entry-189.html
2201,相掛かり棒銀,http://mijinko83.blog110.fc2.com/blog-entry-191.html
2202,塚田スペシャル,http://mijinko83.blog110.fc2.com/blog-entry-194.html
2203,中原流相掛かり,
2204,中原飛車,
2205,腰掛け銀,
2207,８五飛車戦法,
2300,横歩取り,http://mijinko83.blog110.fc2.com/blog-entry-198.html
2301,３三角型空中戦法,http://mijinko83.blog110.fc2.com/blog-entry-199.html
2302,３三桂戦法,
2304,４五角戦法,
2305,相横歩取り,
2400,ゴキゲン中飛車,http://mijinko83.blog110.fc2.com/blog-entry-151.html
2401,ツノ銀中飛車,http://mijinko83.blog110.fc2.com/blog-entry-133.html
2403,風車,http://mijinko83.blog110.fc2.com/blog-entry-155.html
2404,英ちゃん流中飛車,http://mijinko83.blog110.fc2.com/blog-entry-130.html
2405,原始中飛車,http://mijinko83.blog110.fc2.com/blog-entry-140.html
2406,加藤流袖飛車,http://mijinko83.blog110.fc2.com/blog-entry-161.html
2407,５七金戦法,http://mijinko83.blog110.fc2.com/blog-entry-162.html
2500,四間飛車,http://mijinko83.blog110.fc2.com/blog-entry-127.html
2501,藤井システム,http://mijinko83.blog110.fc2.com/blog-entry-128.html
2502,立石流,http://mijinko83.blog110.fc2.com/blog-entry-131.html
2503,レグスペ,http://mijinko83.blog110.fc2.com/blog-entry-132.html
2600,三間飛車,http://mijinko83.blog110.fc2.com/blog-entry-141.html
2601,石田流,http://mijinko83.blog110.fc2.com/blog-entry-145.html
2602,早石田,http://mijinko83.blog110.fc2.com/blog-entry-144.html
2603,升田式石田流,http://mijinko83.blog110.fc2.com/blog-entry-143.html
2604,鬼殺し,http://mijinko83.blog110.fc2.com/blog-entry-188.html
2605,３ニ飛戦法,http://mijinko83.blog110.fc2.com/blog-entry-142.html
2606,中田功ＸＰ,http://mijinko83.blog110.fc2.com/blog-entry-163.html
2607,真部流,http://mijinko83.blog110.fc2.com/blog-entry-164.html
2700,ダイレクト向かい飛車,http://mijinko83.blog110.fc2.com/blog-entry-174.html
2701,向飛車,http://mijinko83.blog110.fc2.com/blog-entry-135.html
2702,メリケン向かい飛車,http://mijinko83.blog110.fc2.com/blog-entry-136.html
2703,阪田流向飛車,http://mijinko83.blog110.fc2.com/blog-entry-176.html
2800,陽動振り飛車,
2802,つくつくぼうし戦法,http://mijinko83.blog110.fc2.com/blog-entry-186.html
2804,相振り飛車,http://mijinko83.blog110.fc2.com/blog-entry-190.html
2900,ポンポン桂,http://mijinko83.blog110.fc2.com/blog-entry-172.html
